Timestamp;Losses_of_pressure_in_hydralic_system
02.08.2017;0.580744503
03.08.2017;0.442568588
04.08.2017;0.357673429
05.08.2017;0.418031681
06.08.2017;0.303765601
07.08.2017;0.435430692
08.08.2017;0.182386278
09.08.2017;0.262206314
10.08.2017;0.264433581
11.08.2017;0.552230446
12.08.2017;0.293013361
13.08.2017;0.304872249
14.08.2017;0.563278081
15.08.2017;0.871688508
16.08.2017;0.736209126
17.08.2017;0.482066204
18.08.2017;0.408568772
19.08.2017;0.072247355
20.08.2017;0.672946441
21.08.2017;0.39217025
22.08.2017;0.474329613
23.08.2017;0.088816876
24.08.2017;0.581972117
25.08.2017;0.311920036
26.08.2017;0.196272912
27.08.2017;0.724162455
28.08.2017;0.616955942
29.08.2017;0.524962839
30.08.2017;0.391838744
31.08.2017;0.710559785
01.09.2017;0.613120906
02.09.2017;0.559651762
03.09.2017;0.464338198
04.09.2017;0.456609555
05.09.2017;0.231338158
06.09.2017;0.373170087
07.09.2017;0.643786884
08.09.2017;0.739940453
09.09.2017;0.445488819
10.09.2017;0.315537096
11.09.2017;0.279499312
12.09.2017;0.545664373
13.09.2017;0.150408728
14.09.2017;0.566295572
15.09.2017;0.385998429
16.09.2017;0.400304786
17.09.2017;0.49651328
18.09.2017;0.687864867
19.09.2017;0.581465167
20.09.2017;0.041529353
21.09.2017;0.634261384
22.09.2017;0.690917764
23.09.2017;0.151847076
24.09.2017;0.554251653
25.09.2017;0.105251982
26.09.2017;0.280135549
27.09.2017;0.085348834
28.09.2017;0.196019386
29.09.2017;0.291937788
30.09.2017;0.411584201
01.10.2017;0.73994794
02.10.2017;0.429247071
03.10.2017;0.429455577
04.10.2017;0.303678845
05.10.2017;0.560269242
06.10.2017;0.386847121
07.10.2017;0.577951331
08.10.2017;0.728125098
09.10.2017;0.251892114
10.10.2017;0.454429546
11.10.2017;0.420425418
12.10.2017;0.443623354
13.10.2017;0.725341213
14.10.2017;0.427203532
15.10.2017;0.412963209
16.10.2017;0.389282929
17.10.2017;0.743203863
18.10.2017;0.551635934
19.10.2017;0.791849473
20.10.2017;0.804808928
21.10.2017;0.600665276
22.10.2017;0.577440266
23.10.2017;0.224195623
24.10.2017;0.502710511
25.10.2017;0.518459129
26.10.2017;0.372007749
27.10.2017;0.214223675
28.10.2017;0.186237192
29.10.2017;0.432107691
30.10.2017;0.13863103
31.10.2017;0.817995614
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
