Timestamp;Heat_exchanger_stuffing
05.08.2017;0.182477889
06.08.2017;0.287207493
07.08.2017;0.462156154
08.08.2017;0.205831062
09.08.2017;0.588406646
10.08.2017;0.348242221
11.08.2017;0.473848039
12.08.2017;0.427119904
13.08.2017;0.294670502
14.08.2017;0.250002561
15.08.2017;0.12486922
16.08.2017;0.288492564
17.08.2017;0.192785564
18.08.2017;0.165824729
19.08.2017;0.421087695
20.08.2017;0.515663732
21.08.2017;0.384885998
22.08.2017;0.431665739
23.08.2017;0.625403828
24.08.2017;0.670737745
25.08.2017;0.20265063
26.08.2017;0.23735794
27.08.2017;0.344566858
28.08.2017;0.329783506
29.08.2017;0.45133035
30.08.2017;0.51184134
31.08.2017;0.330720053
01.09.2017;0.274242769
02.09.2017;0.592801206
03.09.2017;0.528655371
04.09.2017;0.406576839
05.09.2017;0.601051266
06.09.2017;0.774668538
07.09.2017;0.492816278
08.09.2017;0.490901262
09.09.2017;0.655754441
10.09.2017;0.670467494
11.09.2017;0.650868187
12.09.2017;0.630936923
13.09.2017;0.84231751
14.09.2017;0.643707707
15.09.2017;0.59664625
16.09.2017;0.456202756
17.09.2017;0.392012975
18.09.2017;0.51795965
19.09.2017;0.751195229
20.09.2017;0.906687152
21.09.2017;0.769921423
22.09.2017;0.545788294
23.09.2017;0.477799694
24.09.2017;0.904693585
25.09.2017;0.622247578
26.09.2017;0.81004481
27.09.2017;0.942846102
28.09.2017;0.800618153
29.09.2017;0.682522023
30.09.2017;0.779596243
01.10.2017;0.196537731
02.10.2017;0.195043254
03.10.2017;0.425037712
04.10.2017;0.469236276
05.10.2017;0.490668272
06.10.2017;0.087485215
07.10.2017;0.075635832
08.10.2017;0.17325231
09.10.2017;0.426529334
10.10.2017;0.053732892
11.10.2017;0.475274483
12.10.2017;0.296000225
13.10.2017;0.068259753
14.10.2017;0.282625981
15.10.2017;0.355699447
16.10.2017;0.434898234
17.10.2017;0.507667418
18.10.2017;0.520256605
19.10.2017;0.332687072
20.10.2017;0.358035138
21.10.2017;0.133127227
22.10.2017;0.430628045
23.10.2017;0.539549348
24.10.2017;0.077584679
25.10.2017;0.224948569
26.10.2017;0.12863092
27.10.2017;0.200937047
28.10.2017;0.098674778
29.10.2017;0.139496524
30.10.2017;0.53359882
31.10.2017;0.416349973
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
